Sites to search,Reliability,Leaning,Oped?,Pay?,Notes
*.aap.com.au/factcheck*,IFCN,,N,N,
*.abc.net.au/*,Perennial,,Y*,N,
*.abc.net.au/*factcheck/*,Perennial,,N,N,
*.abcnews.go.com/*,Perennial,,N,N,
*.afp.com/*,Perennial,CL,N,Y,
*.aljazeera.com/*,Perennial,,Y / Y,N,
*.americanpressinstitute.org/*,,,N,N,
*.amnesty.org/*,Perennial,,Y*?,N,
*.apnews.com/*,Perennial,CL,N,N,
*.arstechnica.com/*,Perennial,,N,N,
*.arte.tv/en/*,State Media Monitor,,N,N,
*.atlasobscura.com/articles*,Perennial,,Y / Y,N,
*.avclub.com/*,Perennial,,Y*,Y,
*.axios.com/*,Perennial,,Y*,N,
*.bbc.com/*,Perennial,,N,N,
*.behindthevoiceactors.com/*,Perennial,,Y / Y,N,
*.bellingcat.com/*,Perennial,,N,N,
*.bloomberg.com/*,Perennial,C,Y,Y,
*.boomlive.in/fact-check*,IFCN,,N,N,
*.burkespeerage.com/*,Perennial,,N,Y,
*.buzzfeednews.com/*,Perennial,,Y*,N,Can only filter by author
*.calmatters.org/*,INN,,Y / Y,N,
*.cbc.ca/*,State Media Monitor,,N,N,
*.cbsnews.com/*,Perennial,,N,N,
*.chalkbeat.org/*,INN,,,N,
*.channel4.com/*,State Media Monitor,,N,N,
*.cjr.org/*,INN Affiliate,,Y / Y,N,
*.climatefeedback.org/*,Perennial,,N,N,
*.cnn.com/*,Perennial,,Y / Y,N,
*.codastory.com/*,Perennial,,N,N,
*.commonsensemedia.org/*,Perennial,,N,N,
*.csmonitor.com/*,Perennial,C,Y,Y,
*.current.org/*,INN,,Y*,N?,
*.deadline.com/*,Perennial,,Y*,N,
*.deseret.com/*,Perennial,R,Y / Y,N,
*.digitalspy.com/*,Perennial,,Y / Y,N,
*.digitaltrends.com/*,Perennial,,Y,N,
*.dubawa.org/*,IFCN,,N,N,
*.dw.com/*,Perennial,,Y / Y,N,
*.dw.com/*fact-check*,Perennial,,N,N,
*.economist.com/*,Perennial,C,Y,Y,
*.editorandpublisher.com/*,,,N,N?,
*.efe.com/en/*,State Media Monitor,,N?,N,
*.engadget.com/*,Perennial,,N?,N,
*.ew.com/*,Perennial,,Y / Y,N,
*.fact-checkghana.com/*,IFCN,,N,N,
*.fatabyyano.net/en/*,IFCN,,N,N,
*.foreignaffairs.com/*,,,,Y,
*.foreignpolicy.com/*,,,Y*,Y,
*.france24.com/en/*,State Media Monitor,,N?,N,
*.ft.com/*,Perennial,C,Y*,Y,
*.fullfact.org/*,Perennial,,N,N,
*.gamedeveloper.com/*,Perennial,,Y*,N,
*.gameinformer.com/*,Perennial,,N?,N,
*.gijn.org/stories/*,INN affiliate,,N?,N,
*.gizmodo.com/*,Perennial,,N,N,Gizmodo bot only has 1 story
*.gq.com/*,Perennial,,N,N,
*.grubstreet.com/*,Perennial,,Y,Y,
*.haaretz.com/*,Perennial,,Y,Y,
*.healthbeat.org/*,(Likely) INN,,,N,
*.hollywoodreporter.com/*,Perennial,,N,Y,
*.idolator.com/*,Perennial,,Y*,N,Last reviewed in 2014â€¦
*.illustrateddailynews.com/*,Perennial,,Y / Y,N,
*.indianexpress.com/*,Perennial,,Y,Y,Still able to criticize BJP?
*.indiatoday.in/fact-check*,IFCN,,N,N,
*.inn.org/*,GIJN,,N?,N,
*.ipsnews.net/*,Perennial,,Y*,N,
*.iranicaonline.org/*,Perennial,,N,N,
*.jamanetwork.com/*,Perennial,,Y*,Y,
*.journalismresearch.org/*,,,N,N,
*.kbs-america.com/*,State Media Monitor,,N,N,
*.kirkusreviews.com/*,Perennial,,Y*,N,
*.knpr.org/*,INN,,N,N,
*.kqed.org/*,INN,,Y / Y,N,
*.latimes.com/*,Perennial,,Y,Y,
*.logicallyfacts.com/en/*,IFCN,,N,N,
*.lrt.lt/en/*,IFCN,,N,N,
*.metacritic.com/*,Perennial,,Y*,N,
*.mg.co.za/*,Perennial,,Y,Y,
*.mindanews.com/*fact-check*,IFCN,,N,N,
*.mondediplo.com/*,Perennial,,Y,Y,
*.motherjones.com/*,Perennial,,N,N,
*.msnbc.com/*,Perennial,,Y / Y,N,
*.nationalgeographic.com/*,Perennial,,Y,Y,
*.nationalpost.com/*,Perennial,R,Y,,
*.nbcnews.com/*,Perennial,,Y / Y,N,
*.newrepublic.com/*,Perennial,,N,N,
*.news.err.ee/*,State Media Monitor,,?,N,
*.news.sky.com/*,Perennial,R,Y*,N,
*.newsfromthestates.com/*,Republished by WP:RS,,Y,N,
*.newslaundry.com/*,Perennial,,N,N,
*.newsmobile.in/*fact-check*,Perennial,,N,N,
*.newsnationnow.com/*,,R,N?,N,
*.newyorker.com/*,Perennial,,Y*,Y,
*.niemanlab.org/*,,,N,N,
*.nme.com/*,State Media Monitor,,N,N,
*.npr.org/*,Perennial,,Y / Y,N,
*.nydailynews.com/*,Perennial,,Y*,Y,
*.nymag.com/*,Perennial,,Y*,Y,
*.nytimes.com/*,Perennial,,Y,Y,
*.nzherald.co.nz/*,Perennial,R,Y,Y,Seems sensationalist - propose reevaluation?
*.oko.press/*,Perennial,,Y*,N,
*.pbcjamaica.org/*,State Media Monitor,,N,N,
*.pbs.org/*,State Media Monitor,,N,N,
*.people.com/*,Perennial,,N,N,
*.philanthropy.com/*,INN,,Y*,Y,
*.pmn.co.nz/*,State Media Monitor,,N?,N,
*.politico.com/*,Perennial,CL,Y*,N,
*.politifact.com/*,Perennial,,N,N,
*.polygon.com/*,Perennial,,N,N,
*.poynter.org/*,,,Y / Y,N,
*.poynter.org/mediawise/*,IFCN,,N,N,
*.propublica.org/*,Perennial,,N,N,
*.ptinews.com/factcheck*,IFCN,,N,N,
*.pulitzercenter.org/*,INN,,Y / Y,N,
*.qz.com/*,Perennial,,Y,Y,
*.rappler.com/*,Perennial,,Y / Y,N,
*.reason.com/*,Perennial,R,Y* / Y*,N,
*.religionnews.com/*,Perennial,,Y*,N,
*.reuters.com/*,Perennial,C,Y*,N,
*.reuters.com/fact-check*,Perennial,C,N,N,
*.rfa.org/*,State Media Monitor,,Y / Y,N,
*.rmit.edu.au/*crosscheck*,IFCN,,N,N,
*.rmit.edu.au/*factlab*,IFCN,,N,N,
*.rnz.co.nz/*,State Media Monitor,,Y / Y,N,
*.rottentomatoes.com/*,Perennial,,Y / Y,N,
*.rte.ie/*,State Media Monitor,,Y / Y,N,
*.rtvslo.si/radio-si*,State Media Monitor,,N,N,
*.sbs.com.au/*,State Media Monitor,,N,N,
*.sciencebasedmedicine.org/*,Perennial,,Y*,N,Some member-only posts
*.scientificamerican.com/*,Perennial,,Y*,Y,
*.scotusblog.com/*,Perennial,C,Y*,N,
*.sfchronicle.com/*,,,Y,Y,
*.smh.com.au/*,Perennial,,Y*,Y,
*.snopes.com/*,Perennial,,N,N,
*.sochfactcheck.com/*,IFCN,,N,N,
*.spiegel.de/international/*,Perennial,,Y,N,
*.splcenter.org/*,Perennial,,N?,N,
*.swissinfo.ch/eng/*,State Media Monitor,,Y / Y,N,
*.telegraph.co.uk/*,Perennial,R,Y*,Y,
*.texastribune.org/*,INN,,N,N,
*.theage.com.au/*,Perennial,,Y*,Y,
*.theatlantic.com/*,Perennial,,Y,Y,
*.theaustralian.com.au/*,Perennial,R,Y*,Y,Murdoch
*.thecanadianpressnews.ca/fact-checking*,IFCN,,N,N,
*.theconversation.com/*,Perennial,,Y*?,N,
*.thecut.com/*,Perennial,,Y*,Y,
*.thediplomat.com/*,Perennial,R,Y*,Y,
*.theglobeandmail.com/*,Perennial,R,Y,Y,
*.theguardian.com/*,Perennial,,Y / Y,N,
*.thehill.com/*,Perennial,CL,Y / Y,N,
*.thehindu.com/*,Perennial,,Y,Y,Still able to criticize BJP?
*.theintercept.com/*,Perennial,,N,N,
*.thejournal.ie/factcheck*,IFCN,,N,N,
*.themarysue.com/*,Perennial,,Y*,N,
*.thenation.com/*,Perennial,,Y*,Y,
*.thepinknews.com/*,Perennial,,Y*,N,
*.thequint.com/*webqoof*,IFCN,,N,N,
*.theregister.com/*,Perennial,R,Y / Y,N,
*.thetimes.co.uk/*,Perennial,R,Y,Y?,
*.theverge.com/*,Perennial,,N,N,
*.thewire.in/*,Perennial,,Y*,N,Still able to criticize BJP?
*.thip.media/*fact-check*,IFCN,,N,N,
*.time.com/*,Perennial,,Y*,Y,
*.torrentfreak.com/*,Perennial,,Y*,N,
*.towcenter.columbia.edu/*,,,N,N,Is there indexable content here? Or mostly links to other sites?
*.tvnz.co.nz/*,State Media Monitor,,N,N,
*.usatoday.com/*,Perennial,,Y,Y,
*.usatoday.com/*factcheck*,Perennial,,N,N,
*.usnews.com/*,Perennial,,Y / Y,N,
*.vanityfair.com/*,Perennial,,N,Y,
*.variety.com/*,Perennial,,Y / Y,N,
*.venturebeat.com/*,Perennial,C,N,Y,
*.vishvasnews.com/*fact-check*,IFCN,,N,N,
*.voanews.com/*,Perennial,,N,N,
*.vogue.com/*,Perennial,,Y*,Y,
*.votebeat.org/*,INN,,,N,
*.vox.com/*,Perennial,,Y / Y,Y,
*.vulture.com/*,Perennial,,N,Y,
*.wabe.org/*,INN,,N,N,
*.washingtonpost.com/*,Perennial,,Y,Y,
*.washingtonpost.com/*fact-check/*,Perennial,,N,N,
*.wfae.org/*,INN,,Y / Y,N,
*.whyy.org/*,INN,,Y*,N,
*.wired.com/*,Perennial,,Y*,Y,
*.wisconsinwatch.org/*,IFCN,,N,N,
*.wnyc.org/*,INN,,N?,N,
*.wsj.com/*,Perennial,R,Y*,Y,
*.wyborcza.pl/*,Perennial,,Y*,Y,Seems sensationalist
*.yle.fi/news/*,State Media Monitor,,N,N,
https://211check.org/*,IFCN,,N,N,
https://annielab.org/*,IFCN,,N,N,
https://apnews.com/*fact-check*,Perennial,,N,N,
https://checkyourfact.com/*,IFCN,R,N,N,
https://dfrac.org/*fact-check*,IFCN,,N,N,
https://digiteye.in/*,IFCN,,N,N,
https://facta.news/*,IFCN,,N,N,
https://factcheck.ge/en*,IFCN,,N,N,
https://factcheck.org/*,IFCN,,N,N,
https://factcheckni.org/*,IFCN,,N,N,
https://factcheckzw.org/*,IFCN,,N,N,
https://factcrescendo.com/*,IFCN,,N,N,
https://factly.in/*,IFCN,,N,N,
https://factnameh.com/en/*,IFCN,,N,N,
https://firstcheck.in/*,IFCN,,N,N,
https://fullfact.org/*,IFCN,,N,N,
https://ghanafact.com/*,IFCN,,N,N,
https://leadstories.com/*,IFCN,,N,N,
https://mythdetector.ge/*,IFCN,,N,N,
https://newsmeter.in/fact-check*,IFCN,,N,N,
https://nordishub.eu/fact-checking/*,IFCN,,N,N,
https://pa.media/*fact-check*,IFCN,,N,N,
https://pesacheck.org/*,IFCN,,N,N,
https://pressone.ph/fact-check*,IFCN,,N,N,
https://probe.ph/*,IFCN,,N,N,
https://science.feedback.org/*,IFCN,,N,N,
https://thedispatch.com/*fact-check*,IFCN,,N,N,
https://theferret.scot/category/fact-check/*,IFCN,,N,N,
https://tsmliberia.com/*,IFCN,,N,N,
https://verafiles.org/*fact-check*,IFCN,,N,N,
